LEU	ALA	2402.06542322
LEU	VAL	1589.24287168
ALA	VAL	1511.71123665
LEU	SER	1111.57236082
ALA	SER	1042.79041974
GLU	LEU	1205.41631259
ALA	THR	926.851357625
ILE	LEU	1015.0457077
THR	LEU	952.904461171
LEU	LEU	1550.3635522
ALA	GLU	1066.88706429
ALA	ALA	1390.51230487
ALA	ILE	910.851346327
LEU	ARG	822.305050802
ALA	ARG	771.671742094
ALA	ASP	871.024315553
SER	VAL	722.563333488
LEU	ASP	896.592409642
THR	VAL	636.056236707
ALA	PRO	628.265554767
PRO	LEU	644.09274364
ILE	VAL	643.815052553
GLU	VAL	717.809497279
LEU	LYS	755.234099188
SER	THR	470.637407071
LEU	PHE	505.787474696
ALA	LYS	669.761842632
GLU	ARG	460.019193516
LEU	ASN	516.518377657
GLU	SER	523.821992741
ARG	VAL	494.860132791
ASP	VAL	569.125430757
ALA	ASN	480.178490863
ILE	SER	441.276352947
ALA	PHE	454.335293064
LEU	GLN	424.232107303
GLU	LYS	473.403028981
SER	ASP	434.493639004
PRO	VAL	419.901160556
ILE	THR	393.509388818
GLU	THR	448.278379162
ILE	GLU	467.424082212
ARG	ASP	362.245510145
ALA	GLN	379.437885853
ASP	GLU	467.011597861
SER	ARG	353.696926194
ASP	THR	380.249397436
LEU	TYR	370.566499801
VAL	VAL	617.301205425
LYS	VAL	474.869755448
SER	PRO	306.197184263
ALA	TYR	336.660608056
THR	ARG	309.486512466
PHE	VAL	317.275591722
VAL	ASN	325.52295103
SER	LYS	350.143601193
ASN	SER	259.39919962
ASP	LYS	350.36586729
THR	PRO	268.856581652
GLU	PRO	319.215194151
ILE	ASP	352.910916557
ILE	ARG	303.686193547
SER	PHE	233.88729065
THR	ASN	223.874773255
THR	LYS	300.527697624
PRO	ARG	227.190615118
PRO	ASP	261.945336903
ILE	LYS	315.547422025
SER	SER	328.904328242
GLU	ASN	260.279649705
VAL	GLN	247.687428261
ILE	PRO	246.749883193
TYR	VAL	231.254277141
PHE	THR	200.833462771
ASN	ASP	221.762586421
SER	GLN	189.093093732
ILE	ASN	215.169155518
SER	TYR	179.404804322
GLU	GLU	388.53760905
ILE	PHE	203.063196829
PHE	GLU	229.482541989
ALA	HIS	178.78448435
HIS	LEU	186.749145147
THR	THR	253.616903102
GLU	GLN	200.862062946
THR	GLN	166.153229637
ARG	LYS	231.65589359
GLU	TYR	183.725312982
ARG	ASN	168.413290767
THR	TYR	151.501579373
ASP	PHE	186.401618535
LYS	PRO	204.890595653
LYS	ASN	185.618698881
ILE	ILE	266.601485131
PHE	ARG	157.768439583
ILE	GLN	159.431183859
GLN	ASP	161.273749535
ILE	TYR	152.064431348
PRO	ASN	142.770241889
PRO	PHE	135.478305233
GLN	ARG	134.117760127
TYR	ASP	146.675720257
LEU	MET	122.728692439
TYR	ARG	122.893195149
ALA	MET	113.532649428
ASP	ASP	235.566959414
TYR	PRO	108.229302985
ARG	ARG	174.65143913
PRO	GLN	112.294329259
LYS	PHE	150.827102829
VAL	HIS	115.791348551
ASN	PHE	109.638557818
LYS	GLN	131.881254949
TYR	LYS	122.230241958
GLN	ASN	93.4340549721
SER	HIS	85.8490031589
HIS	THR	79.3407032098
TYR	ASN	86.9927764335
LYS	LYS	188.81330622
HIS	GLU	94.2020345449
TYR	PHE	80.979890116
PRO	PRO	122.946232337
MET	VAL	76.188881596
GLN	PHE	80.6594124458
HIS	ILE	74.6688338586
ASP	HIS	75.3394655493
HIS	ARG	64.3787666738
TYR	GLN	64.0899585731
ASN	ASN	86.8677599877
MET	SER	53.3295644143
HIS	PRO	52.4052300495
THR	MET	47.1115872591
ILE	MET	48.8558101461
GLU	MET	55.5513502665
LEU	TRP	56.2663890541
TRP	ALA	53.0431268128
PHE	PHE	68.3525567691
PHE	HIS	39.6859175779
HIS	ASN	41.3780235846
HIS	LYS	55.1965048339
ARG	MET	38.2706067221
GLN	GLN	52.1243527405
ASP	MET	42.8226953543
LEU	CYS	42.8439733772
HIS	GLN	32.3076018394
HIS	TYR	30.8561880846
CYS	ALA	40.00085362
PRO	MET	31.7193957613
TRP	VAL	34.9001902387
TYR	TYR	41.4499865649
LYS	MET	35.8788192835
PHE	MET	24.9374491762
MET	ASN	25.489111138
TRP	SER	26.3445489778
SER	CYS	22.477773242
VAL	CYS	28.0610285735
THR	TRP	23.2524143972
TRP	GLU	26.4010648756
MET	GLN	19.2110234837
TYR	MET	18.3482631141
TRP	ARG	19.6406120846
THR	CYS	18.8194175893
TRP	ASP	22.2382127483
PRO	TRP	17.0950809015
TRP	ILE	21.1311744925
CYS	GLU	19.5720236459
ILE	CYS	17.0545790345
PRO	CYS	13.3561171089
CYS	ARG	14.724642634
ASN	TRP	12.7974055858
ASP	CYS	16.0556246998
PHE	TRP	12.2509553215
MET	HIS	9.73783761174
TRP	LYS	16.9116388214
HIS	HIS	11.8213759396
TRP	TYR	9.53262472577
TRP	GLN	9.897756514
CYS	ASN	10.0476443564
LYS	CYS	13.5004206234
PHE	CYS	9.28931538293
TYR	CYS	7.30567336472
GLN	CYS	7.513426877
MET	MET	5.69901821408
